Training Examples,Training Score,Training Score Std,Cross-validation Score,Cross-validation Score Std
141,1.0,0.0,0.8876931646375427,0.015422678122845729
141,1.0,0.0,0.8876931646375427,0.015422678122845729
141,1.0,0.0,0.8876931646375427,0.015422678122845729
141,1.0,0.0,0.8876931646375427,0.015422678122845729
141,1.0,0.0,0.8876931646375427,0.015422678122845729
460,1.0,0.0,0.9497700326251293,0.009864701163659947
460,1.0,0.0,0.9497700326251293,0.009864701163659947
460,1.0,0.0,0.9497700326251293,0.009864701163659947
460,1.0,0.0,0.9497700326251293,0.009864701163659947
460,1.0,0.0,0.9497700326251293,0.009864701163659947
779,1.0,0.0,0.9655812843160658,0.006967347569878888
779,1.0,0.0,0.9655812843160658,0.006967347569878888
779,1.0,0.0,0.9655812843160658,0.006967347569878888
779,1.0,0.0,0.9655812843160658,0.006967347569878888
779,1.0,0.0,0.9655812843160658,0.006967347569878888
1098,1.0,0.0,0.9813702554308904,0.006838709282388008
1098,1.0,0.0,0.9813702554308904,0.006838709282388008
1098,1.0,0.0,0.9813702554308904,0.006838709282388008
1098,1.0,0.0,0.9813702554308904,0.006838709282388008
1098,1.0,0.0,0.9813702554308904,0.006838709282388008
1417,1.0,0.0,0.9853186918118884,0.008269727519885027
1417,1.0,0.0,0.9853186918118884,0.008269727519885027
1417,1.0,0.0,0.9853186918118884,0.008269727519885027
1417,1.0,0.0,0.9853186918118884,0.008269727519885027
1417,1.0,0.0,0.9853186918118884,0.008269727519885027
