False Positive Rate,True Positive Rate,AUC,Class
0.0,0.0,1.0,Class 0
0.0,0.0030864197530864196,1.0,Class 0
0.0,0.006172839506172839,1.0,Class 0
0.0,0.024691358024691357,1.0,Class 0
0.0,0.030864197530864196,1.0,Class 0
0.0,0.24382716049382716,1.0,Class 0
0.0,0.2654320987654321,1.0,Class 0
0.0,0.2808641975308642,1.0,Class 0
0.0,0.31790123456790126,1.0,Class 0
0.0,0.32407407407407407,1.0,Class 0
0.0,0.3333333333333333,1.0,Class 0
0.0,0.3888888888888889,1.0,Class 0
0.0,0.46296296296296297,1.0,Class 0
0.0,0.4845679012345679,1.0,Class 0
0.0,0.5925925925925926,1.0,Class 0
0.0,0.6265432098765432,1.0,Class 0
0.0,0.6327160493827161,1.0,Class 0
0.0,0.6450617283950617,1.0,Class 0
0.0,0.654320987654321,1.0,Class 0
0.0,0.7129629629629629,1.0,Class 0
0.0,0.7222222222222222,1.0,Class 0
0.0,0.8271604938271605,1.0,Class 0
0.0,0.8364197530864198,1.0,Class 0
0.0,0.9012345679012346,1.0,Class 0
0.0,0.9074074074074074,1.0,Class 0
0.0,1.0,1.0,Class 0
0.23333333333333334,1.0,1.0,Class 0
0.26666666666666666,1.0,1.0,Class 0
0.3,1.0,1.0,Class 0
0.31666666666666665,1.0,1.0,Class 0
0.475,1.0,1.0,Class 0
0.5166666666666667,1.0,1.0,Class 0
0.55,1.0,1.0,Class 0
0.5666666666666667,1.0,1.0,Class 0
0.7666666666666667,1.0,1.0,Class 0
0.7833333333333333,1.0,1.0,Class 0
0.9833333333333333,1.0,1.0,Class 0
1.0,1.0,1.0,Class 0
0.0,0.0,0.9974256292906178,Class 1
0.0,0.013157894736842105,0.9974256292906178,Class 1
0.0,0.07894736842105263,0.9974256292906178,Class 1
0.0,0.14473684210526316,0.9974256292906178,Class 1
0.0,0.15789473684210525,0.9974256292906178,Class 1
0.0,0.18421052631578946,0.9974256292906178,Class 1
0.0,0.21052631578947367,0.9974256292906178,Class 1
0.0,0.23684210526315788,0.9974256292906178,Class 1
0.0,0.25,0.9974256292906178,Class 1
0.0,0.27631578947368424,0.9974256292906178,Class 1
0.0,0.3157894736842105,0.9974256292906178,Class 1
0.0,0.34210526315789475,0.9974256292906178,Class 1
0.0,0.5263157894736842,0.9974256292906178,Class 1
0.002717391304347826,0.5263157894736842,0.9974256292906178,Class 1
0.002717391304347826,0.8552631578947368,0.9974256292906178,Class 1
0.008152173913043478,0.8552631578947368,0.9974256292906178,Class 1
0.008152173913043478,0.9210526315789473,0.9974256292906178,Class 1
0.010869565217391304,0.9210526315789473,0.9974256292906178,Class 1
0.010869565217391304,0.9342105263157895,0.9974256292906178,Class 1
0.01358695652173913,0.9342105263157895,0.9974256292906178,Class 1
0.01358695652173913,0.9868421052631579,0.9974256292906178,Class 1
0.021739130434782608,0.9868421052631579,0.9974256292906178,Class 1
0.021739130434782608,1.0,0.9974256292906178,Class 1
0.07065217391304347,1.0,0.9974256292906178,Class 1
0.07608695652173914,1.0,0.9974256292906178,Class 1
0.1766304347826087,1.0,0.9974256292906178,Class 1
0.18206521739130435,1.0,0.9974256292906178,Class 1
0.23369565217391305,1.0,0.9974256292906178,Class 1
0.2418478260869565,1.0,0.9974256292906178,Class 1
0.3423913043478261,1.0,0.9974256292906178,Class 1
0.35054347826086957,1.0,0.9974256292906178,Class 1
0.39945652173913043,1.0,0.9974256292906178,Class 1
0.4076086956521739,1.0,0.9974256292906178,Class 1
0.4157608695652174,1.0,0.9974256292906178,Class 1
0.421195652173913,1.0,0.9974256292906178,Class 1
0.453804347826087,1.0,0.9974256292906178,Class 1
0.47282608695652173,1.0,0.9974256292906178,Class 1
0.5679347826086957,1.0,0.9974256292906178,Class 1
0.5733695652173914,1.0,0.9974256292906178,Class 1
0.6222826086956522,1.0,0.9974256292906178,Class 1
0.6875,1.0,0.9974256292906178,Class 1
0.6929347826086957,1.0,0.9974256292906178,Class 1
0.7065217391304348,1.0,0.9974256292906178,Class 1
0.7391304347826086,1.0,0.9974256292906178,Class 1
0.7445652173913043,1.0,0.9974256292906178,Class 1
0.7608695652173914,1.0,0.9974256292906178,Class 1
0.7663043478260869,1.0,0.9974256292906178,Class 1
0.9538043478260869,1.0,0.9974256292906178,Class 1
0.9728260869565217,1.0,0.9974256292906178,Class 1
0.9891304347826086,1.0,0.9974256292906178,Class 1
0.9945652173913043,1.0,0.9974256292906178,Class 1
1.0,1.0,0.9974256292906178,Class 1
0.0,0.0,0.9838803489821355,Class 2
0.0,0.034482758620689655,0.9838803489821355,Class 2
0.0,0.10344827586206896,0.9838803489821355,Class 2
0.0,0.1724137931034483,0.9838803489821355,Class 2
0.0,0.4482758620689655,0.9838803489821355,Class 2
0.004819277108433735,0.4482758620689655,0.9838803489821355,Class 2
0.004819277108433735,0.4827586206896552,0.9838803489821355,Class 2
0.007228915662650603,0.4827586206896552,0.9838803489821355,Class 2
0.007228915662650603,0.5172413793103449,0.9838803489821355,Class 2
0.012048192771084338,0.5172413793103449,0.9838803489821355,Class 2
0.012048192771084338,0.6551724137931034,0.9838803489821355,Class 2
0.014457831325301205,0.6551724137931034,0.9838803489821355,Class 2
0.014457831325301205,0.7586206896551724,0.9838803489821355,Class 2
0.021686746987951807,0.7586206896551724,0.9838803489821355,Class 2
0.021686746987951807,0.7931034482758621,0.9838803489821355,Class 2
0.024096385542168676,0.7931034482758621,0.9838803489821355,Class 2
0.024096385542168676,0.8275862068965517,0.9838803489821355,Class 2
0.02891566265060241,0.8275862068965517,0.9838803489821355,Class 2
0.02891566265060241,0.8620689655172413,0.9838803489821355,Class 2
0.03132530120481928,0.8620689655172413,0.9838803489821355,Class 2
0.03132530120481928,0.896551724137931,0.9838803489821355,Class 2
0.05542168674698795,0.896551724137931,0.9838803489821355,Class 2
0.05542168674698795,0.9310344827586207,0.9838803489821355,Class 2
0.06746987951807229,0.9310344827586207,0.9838803489821355,Class 2
0.06746987951807229,0.9655172413793104,0.9838803489821355,Class 2
0.13493975903614458,0.9655172413793104,0.9838803489821355,Class 2
0.13493975903614458,1.0,0.9838803489821355,Class 2
0.13975903614457832,1.0,0.9838803489821355,Class 2
0.14457831325301204,1.0,0.9838803489821355,Class 2
0.1566265060240964,1.0,0.9838803489821355,Class 2
0.1686746987951807,1.0,0.9838803489821355,Class 2
0.17349397590361446,1.0,0.9838803489821355,Class 2
0.18072289156626506,1.0,0.9838803489821355,Class 2
0.1855421686746988,1.0,0.9838803489821355,Class 2
0.19036144578313252,1.0,0.9838803489821355,Class 2
0.19518072289156627,1.0,0.9838803489821355,Class 2
0.20481927710843373,1.0,0.9838803489821355,Class 2
0.20963855421686747,1.0,0.9838803489821355,Class 2
0.28433734939759037,1.0,0.9838803489821355,Class 2
0.2891566265060241,1.0,0.9838803489821355,Class 2
0.3132530120481928,1.0,0.9838803489821355,Class 2
0.3710843373493976,1.0,0.9838803489821355,Class 2
0.39759036144578314,1.0,0.9838803489821355,Class 2
0.563855421686747,1.0,0.9838803489821355,Class 2
0.5807228915662651,1.0,0.9838803489821355,Class 2
0.6096385542168675,1.0,0.9838803489821355,Class 2
0.6144578313253012,1.0,0.9838803489821355,Class 2
0.636144578313253,1.0,0.9838803489821355,Class 2
0.7204819277108434,1.0,0.9838803489821355,Class 2
0.7228915662650602,1.0,0.9838803489821355,Class 2
0.7301204819277108,1.0,0.9838803489821355,Class 2
0.7397590361445783,1.0,0.9838803489821355,Class 2
0.7469879518072289,1.0,0.9838803489821355,Class 2
0.7783132530120482,1.0,0.9838803489821355,Class 2
0.7831325301204819,1.0,0.9838803489821355,Class 2
0.8072289156626506,1.0,0.9838803489821355,Class 2
0.8144578313253013,1.0,0.9838803489821355,Class 2
0.8698795180722891,1.0,0.9838803489821355,Class 2
0.891566265060241,1.0,0.9838803489821355,Class 2
0.9060240963855422,1.0,0.9838803489821355,Class 2
